from,to,relation
fca,bl,3
fca1,ols,1
fca1,fca,2
fca2,lech,1
fca2,fca,2
fca3,fcno,1
fca3,fca,2
fca4,whu,1
fca4,fca,2
fca5,mu60,1
fca5,fca,2
fca6,hee,1
fca6,fca,2
fca7,cib,1
fca7,fca,2
fca8,ind,1
fca8,fca,2
fca9,rblj,1
fca9,fca,2
fca10,bscj,1
fca10,fca,2
fca11,rbs,1
fca11,fca,2
fca13,wobj,1
fca13,fca,2
fca14,mu60,1
fca14,fca,2
fca16,luz,1
fca16,fca,2
fca17,han,1
fca17,fca,2
fca19,mu60,1
fca19,fca,2
fca20,scfj,1
fca20,fca,2
fca22,inte,1
fca22,fca,2
fca23,fur,1
fca23,fca,2
fca24,twen,1
fca24,fca,2
fca27,brue,1
fca27,fca,2
fca28,hsv,1
fca28,fca,2
fca30,fcbj,1
fca30,fca,2
fca38,asm,1
fca38,fca,2
fca39,fcaj,1
fca39,fca,2
fca40,kral,1
fca40,fca,2
fca42,fcaj,1
fca42,fca,2
fca45,goz,1
fca45,fca,2
fca48,asm,1
fca48,fca,2
