from,to,relation
koe,bl,3
koe1,koej,1
koe1,koe,2
koe2,fcbj,1
koe2,koe,2
koe3,beif,1
koe3,koe,2
koe4,han,1
koe4,koe,2
koe5,zapr,1
koe5,koe,2
koe6,rblj,1
koe6,koe,2
koe7,rwie,1
koe7,koe,2
koe8,off,1
koe8,koe,2
koe9,ange,1
koe9,koe,2
koe11,graz,1
koe11,koe,2
koe13,koej,1
koe13,koe,2
koe14,auer,1
koe14,koe,2
koe15,bvbj,1
koe15,koe,2
koe17,han,1
koe17,koe,2
koe19,atro,1
koe19,koe,2
koe20,sgej,1
koe20,koe,2
koe21,osna,1
koe21,koe,2
koe23,hro,1
koe23,koe,2
koe24,rblj,1
koe24,koe,2
koe25,koej,1
koe25,koe,2
koe27,svwj,1
koe27,koe,2
koe28,mont,1
koe28,koe,2
koe29,koej,1
koe29,koe,2
koe33,czj,1
koe33,koe,2
koe37,han,1
koe37,koe,2
koe47,koej,1
koe47,koe,2
koe48,koej,1
koe48,koe,2
