from,to,relation
lev,bl,3
lev1,tps,1
lev1,lev,2
lev3,ind,1
lev3,lev,2
lev4,hsv,1
lev4,lev,2
lev5,aja,1
lev5,lev,2
lev6,asec,1
lev6,lev,2
lev8,bscj,1
lev8,lev,2
lev9 ,sep,1
lev9 ,lev,2
lev10,bvbj,1
lev10,lev,2
lev11,tsgj,1
lev11,lev,2
lev12 ,leix,1
lev12 ,lev,2
lev14,spra,1
lev14,lev,2
lev17,cfc,1
lev17,lev,2
lev19,psg,1
lev19,lev,2
lev20,cob,1
lev20,lev,2
lev21,tou,1
lev21,lev,2
lev22,hee,1
lev22,lev,2
lev23,spra,1
lev23,lev,2
lev24,manu,1
lev24,lev,2
lev25 ,rivp,1
lev25 ,lev,2
lev27,koej,1
lev27,lev,2
lev30,manc,1
lev30,lev,2
lev32 ,levj,1
lev32 ,lev,2
lev38,ebs,1
lev38,lev,2
lev40,tor,1
lev40,lev,2
