from,to,relation
sge,bl,3
sge1,fck,1
sge2,aux,1
sge5,rij,1
sge6,spli,1
sge8,fcz,1
sge9,nan,1
sge11,hsv,1
sge15,hhs,1
sge17,off,1
sge18,asm,1
sge19,cal,1
sge20,fhs,1
sge21,cac,1
sge22,sgej,1
sge24,ben,1
sge25,bmgj,1
sge26,psg,1
sge27,bvbj,1
sge28,fcbj,1
sge29,bro,1
sge31,stk,1
sge32,gelj,1
sge35,saop,1
sge36,bvbj,1
sge40,heid,1
sge1,sge,2
sge2,sge,2
sge5,sge,2
sge6,sge,2
sge8,sge,2
sge9,sge,2
sge11,sge,2
sge15,sge,2
sge17,sge,2
sge18,sge,2
sge19,sge,2
sge20,sge,2
sge21,sge,2
sge22,sge,2
sge24,sge,2
sge25,sge,2
sge26,sge,2
sge27,sge,2
sge28,sge,2
sge29,sge,2
sge31,sge,2
sge32,sge,2
sge35,sge,2
sge36,sge,2
sge40,sge,2
