id,name,type,club,youth,debut,nation,peakvalue
aaa,Alemannia Aachen,2,,,,GER,
aar,FC Aarau,2,,,,SUI,
aja,Ajax Amsterdam,2,,,,NED,
alk,AZ Alkmaar,2,,,,NED,
and,RSC Anderlecht,2,,,,BEL,
ange,Angelholm,2,,,,SWE,
anne,Patroge Saint Anne,2,,,,COG,
ars,FC Arsenal,2,,,,ENG,
asco,Angers SCO,2,,,,FRA,
asec,ASEC Mimosas,2,,,,CIV,
asm,AS Monaco,2,,,,FRA,
asse,AS St Etienne,2,,,,FRA,
atm,Atletico Madrid,2,,,,ESP,
atpr,Athletico Paranese,2,,,,BRA,
atro,Atromitos Athen,2,,,,GRE,
auer,SV Auersmacher,2,,,,GER,
aux,AJ Auxerre,2,,,,FRA,
awie,Austria Wien,2,,,,AUT,
bama,JMG Academy Bamako,2,,,,MAL,
bar,FC Barcelona,2,,,,ESP,
bas,FC Basel,2,,,,SUI,
beif,Benlose IF,2,,,,DEN,
ben,Benfica Lissabon,2,,,,POR,
bir,Birmingham City,2,,,,ENG,
bl,Bundesliga,3,,,,,
blum,Blumentaler SV,2,,,,GER,
bmg,Borussia Moenchengladbach,2,,,,GER,
bmg1,Jonas Omlin,1,bmg,luz,luz,,D
bmg10,Marcus Thuram,1,bmg,soc,soc,,I
bmg11,Hannes Wolf,1,bmg,rbs,rbs,,E
bmg13,Lars Stindl,1,bmg,ksc,ksc,,F
bmg14,Alassane Plea,1,bmg,ol,ol,,I
bmg17,Manu Kone,1,bmg,tou,tou,,G
bmg18,Stefan Lainer,1,bmg,rbs,rbs,,F
bmg19,Nathan Ngoumou,1,bmg,tou,tou,,C
bmg20,Luca Netz,1,bmg,bscj,bsc,,C
bmg21,Tobias Sippel,1,bmg,fck,fck,,B
bmg23,Jonas Hofmann,1,bmg,tsgj,bvb,,F
bmg24,Tony Jantschke,1,bmg,bmgj,bmg,,D
bmg25,Ramy Bensebaini,1,bmg,pac,pac,,G
bmg29,Joe Scally,1,bmg,nyfc,nyfc,,E
bmg3,Ko Itakura,1,bmg,kaw,kaw,,E
bmg30,Nico Elvedi,1,bmg,fcz,fcz,,I
bmg32,Florian Neuhaus,1,bmg,mu60,mu60,,I
bmg34,Conor Noss,1,bmg,bmgj,bmg,,A
bmg38,Yvandro Borges Sanches,1,bmg,bmgj,bmg,,A
bmg4,Mamadou Doucoure,1,bmg,psg,bmg,,A
bmg41,Jan Olschowsky,1,bmg,bmgj,bmg,,A
bmg5,Marvin Friedrich,1,bmg,gelj,gel,,D
bmg6,Christoph Kramer,1,bmg,levj,boc,,E
bmg7,Patrick Herrmann,1,bmg,bmgj,bmg,,E
bmg8,Julian Weigl,1,bmg,mu60,mu60,,H
bmgj,Gladbach Jugend,2,,,,GER,
