id,name,type,sex,height,land,peakvalue
aaa,Alemannia Aachen,2,1,NA,GER,NA
aar,FC Aarau,2,2,NA,SUI,NA
aja,Ajax Amsterdam,2,3,NA,NED,NA
ala,Deportivo Alaves,2,239,NA,ESP,NA
alk,AZ Alkmaar,2,4,NA,NED,NA
and,RSC Anderlecht,2,5,NA,BEL,NA
ange,Angelholm,2,6,NA,SWE,NA
anne,Patroge Saint Anne,2,7,NA,COG,NA
apo,Apollon Pontou,2,249,NA,GRE,NA
ars,FC Arsenal,2,8,NA,ENG,NA
asco,Angers SCO,2,9,NA,FRA,NA
asec,ASEC Mimosas,2,10,NA,CIV,NA
asm,AS Monaco,2,11,NA,FRA,NA
asse,AS St Etienne,2,12,NA,FRA,NA
atm,Atletico Madrid,2,13,NA,ESP,NA
atpr,Athletico Paranese,2,14,NA,BRA,NA
atro,Atromitos Athen,2,15,NA,GRE,NA
auer,SV Auersmacher,2,16,NA,GER,NA
aux,AJ Auxerre,2,17,NA,FRA,NA
awie,Austria Wien,2,18,NA,AUT,NA
bama,JMG Academy Bamako,2,19,NA,MAL,NA
bar,FC Barcelona,2,20,NA,ESP,NA
bas,FC Basel,2,21,NA,SUI,NA
beif,Benlose IF,2,22,NA,DEN,NA
ben,Benfica Lissabon,2,23,NA,POR,NA
bir,Birmingham City,2,24,NA,ENG,NA
bl,Bundesliga,3,NA,NA,NA,NA
blum,Blumentaler SV,2,25,NA,GER,NA
bmg,Borussia Moenchengladbach,2,26,NA,GER,NA
bmg1,Jonas Omlin,1,26,117,NA,D
bmg10,Marcus Thuram,1,26,176,NA,I
bmg11,Hannes Wolf,1,26,153,NA,E
bmg13,Lars Stindl,1,26,107,NA,F
bmg14,Alassane Plea,1,26,139,NA,I
bmg17,Manu Kone,1,26,193,NA,G
bmg18,Stefan Lainer,1,26,153,NA,F
bmg19,Nathan Ngoumou,1,26,193,NA,C
bmg20,Luca Netz,1,26,35,NA,C
bmg21,Tobias Sippel,1,26,61,NA,B
