id,name,type,club,youth,debut,nation,peakvalue,league
aaa,Alemannia Aachen,2,aaa,aaa,aaa,GER,-999,-999
aar,FC Aarau,2,aar,aar,aar,SUI,-999,-999
adm,Admira Wacker Moedling,2,adm,adm,adm,AUT,-999,-999
aja,Ajax Amsterdam,2,aja,aja,aja,NED,-999,-999
ala,Deportivo Alaves,2,ala,ala,ala,ESP,-999,-999
alk,AZ Alkmaar,2,alk,alk,alk,NED,-999,-999
and,RSC Anderlecht,2,and,and,and,BEL,-999,-999
ange,Angelholm,2,ange,ange,ange,SWE,-999,-999
anne,Patroge Saint Anne,2,anne,anne,anne,COG,-999,-999
apo,Apollon Pontou,2,apo,apo,apo,GRE,-999,-999
ars,FC Arsenal,2,ars,ars,ars,ENG,-999,-999
asco,Angers SCO,2,asco,asco,asco,FRA,-999,-999
asec,ASEC Mimosas,2,asec,asec,asec,CIV,-999,-999
asm,AS Monaco,2,asm,asm,asm,FRA,-999,-999
asse,AS St Etienne,2,asse,asse,asse,FRA,-999,-999
atm,Atletico Madrid,2,atm,atm,atm,ESP,-999,-999
atpr,Athletico Paranese,2,atpr,atpr,atpr,BRA,-999,-999
atro,Atromitos Athen,2,atro,atro,atro,GRE,-999,-999
auer,SV Auersmacher,2,auer,auer,auer,GER,-999,-999
aux,AJ Auxerre,2,aux,aux,aux,FRA,-999,-999
awie,Austria Wien,2,awie,awie,awie,AUT,-999,-999
bama,JMG Academy Bamako,2,bama,bama,bama,MAL,-999,-999
bar,FC Barcelona,2,bar,bar,bar,ESP,-999,-999
bas,FC Basel,2,bas,bas,bas,SUI,-999,-999
beif,Benlose IF,2,beif,beif,beif,DEN,-999,-999
ben,Benfica Lissabon,2,ben,ben,ben,POR,-999,-999
bie,Arminia Bielefeld,2,bie,bie,bie,GER,-999,-999
bir,Birmingham City,2,bir,bir,bir,ENG,-999,-999
bl,Bundesliga,3,,,,GER,-999,-999
blum,Blumentaler SV,2,blum,blum,blum,GER,-999,-999
bmg,Borussia Moenchengladbach,2,bmg,bmg,bmg,GER,-999,1
bmg1,Jonas Omlin,1,bmg,luz,luz,GER,4,-999
bmg10,Marcus Thuram,1,bmg,soc,soc,GER,9,-999
bmg11,Hannes Wolf,1,bmg,rbs,rbs,GER,5,-999
bmg13,Lars Stindl,1,bmg,ksc,ksc,GER,6,-999
bmg14,Alassane Plea,1,bmg,ol,ol,GER,9,-999
bmg17,Manu Kone,1,bmg,tou,tou,GER,7,-999
bmg18,Stefan Lainer,1,bmg,rbs,rbs,GER,6,-999
bmg19,Nathan Ngoumou,1,bmg,tou,tou,GER,3,-999
bmg20,Luca Netz,1,bmg,bscj,bsc,GER,3,-999
bmg21,Tobias Sippel,1,bmg,fck,fck,GER,2,-999
bmg23,Jonas Hofmann,1,bmg,tsgj,bvb,GER,6,-999
bmg24,Tony Jantschke,1,bmg,bmgj,bmg,GER,4,-999
bmg25,Ramy Bensebaini,1,bmg,pac,pac,GER,7,-999
bmg29,Joe Scally,1,bmg,nyfc,nyfc,GER,5,-999
bmg3,Ko Itakura,1,bmg,kaw,kaw,GER,5,-999
bmg30,Nico Elvedi,1,bmg,fcz,fcz,GER,9,-999
bmg32,Florian Neuhaus,1,bmg,mu60,mu60,GER,9,-999
bmg34,Conor Noss,1,bmg,bmgj,bmg,GER,1,-999
bmg38,Yvandro Borges Sanches,1,bmg,bmgj,bmg,GER,1,-999
bmg4,Mamadou Doucoure,1,bmg,psg,bmg,GER,1,-999
bmg41,Jan Olschowsky,1,bmg,bmgj,bmg,GER,1,-999
bmg5,Marvin Friedrich,1,bmg,gelj,gel,GER,4,-999
bmg6,Christoph Kramer,1,bmg,levj,boc,GER,5,-999
bmg7,Patrick Herrmann,1,bmg,bmgj,bmg,GER,5,-999
bmg8,Julian Weigl,1,bmg,mu60,mu60,GER,8,-999
bmgj,Gladbach Jugend,2,bmgj,bmgj,bmgj,GER,-999,2
boc,VfL Bochum,2,boc,boc,boc,GER,-999,1
boc1,Manuel Riemann,1,boc,burg,burg,GER,1,-999
boc10,Philipp Foerster,1,boc,vfbj,svs,GER,2,-999
boc11,Takuma Asano,1,boc,yok,sanf,GER,2,-999
boc16,Konstantinos Stafylidis,1,boc,paok,paok,GER,2,-999
boc17,Gerrit Holtmann,1,boc,svwj,ebs,GER,2,-999
boc18,Jordi Osei Tutu,1,boc,ars,boc,GER,1,-999
boc2,Cristian Gamboa,1,boc,mli,mli,GER,1,-999
boc20,Ivan Ordets,1,boc,shak,shak,GER,2,-999
boc21,Michael Esser,1,boc,habi,boc,GER,1,-999
boc22,Christopher Antwi Adjei,1,boc,hern,scp,GER,1,-999
boc23,Saidy Janko,1,boc,manu,bolt,GER,2,-999
boc24,Vasilios Lampropoulos,1,boc,olpi,apo,GER,1,-999
boc28,Pierre Kunde,1,boc,atm,gran,GER,4,-999
boc29,Moritz Broschinski,1,boc,cott,boc,GER,1,-999
boc3,Danilo Soares,1,boc,lust,lust,GER,1,-999
boc30,Dominique Heintz,1,boc,fck,fck,GER,4,-999
boc31,Keven Schlotterbeck,1,boc,kirc,scf,GER,4,-999
boc33,Philipp Hofmann,1,boc,gelj,scp,GER,2,-999
boc35,Silvere Ganvoula,1,boc,anne,raja,GER,2,-999
boc4,Erhan Masovic,1,boc,cuk,cuk,GER,2,-999
boc5,Jacek Goralski,1,boc,zaw,wis,GER,2,-999
boc6,Patrick Osterhage,1,boc,bvbj,boc,GER,1,-999
boc7,Kevin Stoeger,1,boc,vfbj,fck,GER,3,-999
boc8,Anthony Losilla,1,boc,asse,fcc,GER,1,-999
boc9,Simon Zoller,1,boc,ksc,ksc,GER,2,-999
bocj,VfL Bochum Jugend,2,bocj,bocj,bocj,GER,-999,2
bolt,Bolton Wanderers,2,bolt,bolt,bolt,ENG,-999,-999
bonn,Bonner SC,2,bonn,bonn,bonn,GER,-999,-999
brab,Brabrand IF,2,brab,brab,brab,DEN,-999,-999
bro,Broendby IF,2,bro,bro,bro,DEN,-999,-999
brue,FC Bruegge,2,brue,brue,brue,BEL,-999,-999
bsc,Hertha BSC Berlin,2,bsc,bsc,bsc,GER,-999,1
bsc1,Oliver Christensen,1,bsc,obk,obk,GER,2,-999
