ID,Name,Typ,Verein,Jugendverein,Land,MW
rbl1,Peter Gulacsi,1,rbl,mtk,NA,E
rbl2,Mohamed Simakan,1,rbl,stra,NA,H
rbl4,Willi Orban,1,rbl,fck,NA,F
rbl7,Dani Olmo,1,rbl,bar,NA,J
rbl8,Amadou Haidara,1,rbl,bama,NA,G
rbl9,Yussuf Poulsen,1,rbl,lyn,NA,I
rbl10,Emil Forsberg,1,rbl,sun,NA,H
rbl11,Timo Werner,1,rbl,vfbj,NA,L
rbl13,Orjan Nyland,1,rbl,hoed,NA,B
rbl16,Lukas Klostermann,1,rbl,bocj,NA,I
rbl17,Dominik Szoboszlai,1,rbl,rbs,NA,I
rbl18,Christopher Nkunku,1,rbl,psg,NA,L
rbl19,Andre Silva,1,rbl,prt,NA,J
rbl21,Janis Blaswich,1,rbl,bmgj,NA,A
rbl22,David Raum,1,rbl,fur,NA,H
rbl23,Marcel Halstenberg,1,rbl,han,NA,G
rbl24,Xaver Schlager,1,rbl,rbs,NA,H
rbl25,Sanoussy Ba,1,rbl,rblj,NA,A
rbl27,Konrad Laimer,1,rbl,rbs,NA,H
rbl32,Josko Gvardiol,1,rbl,zag,NA,L
rbl37,Abdou Diallo,1,rbl,asm,NA,I
rbl39,Benjamin Henrichs,1,rbl,levj,NA,F
rbl44,Kevin Kampl,1,rbl,levj,NA,G
mtk,MTK Budapest,2,NA,NA,HUN,NA
stra,Racing Strassbourg,2,NA,NA,FRA,NA
fck,1. FC Kaiserslautern,2,NA,NA,GER,NA
bar,FC Barcelona,2,NA,NA,ESP,NA
bama,JMG Academy Bamako,2,NA,NA,MAL,NA
lyn,Lyngby BK,2,NA,NA,DEN,NA
sun,GIF Sundsvall,2,NA,NA,SWE,NA
vfbj,VfB Stuttgart Jugend,2,NA,NA,GER,NA
hoed,IL Hoedd,2,NA,NA,NOR,NA
bocj,VfL Bochum Jugend,2,NA,NA,GER,NA
rbs,Red Bull Salzburg,2,NA,NA,AUT,NA
psg,Paris St. Germain,2,NA,NA,FRA,NA
prt,FC Porto,2,NA,NA,POR,NA
bmgj,Moenchengladbach Jugend,2,NA,NA,GER,NA
fur,Spvgg Greuther Fuerth,2,NA,NA,GER,NA
han,Hansa Rostock,2,NA,NA,GER,NA
rblj,Red Bull Leipzig Jugend,2,NA,NA,GER,NA
zag,Dinamo Zagreb,2,NA,NA,CRO,NA
asm,AS Monaco,2,NA,NA,FRA,NA
levj,Bayer 04 Leverkusen Jugend,2,NA,NA,GER,NA
bl,Bundesliga,3,NA,NA,NA,NA
rbl,Red Bull Leipzig,2,NA,NA,GER,NA
