ID,Name,Typ,Verein,Jugendverein,Land,MW
fcb1,Manuel Neuer,1,fcb,gelj,NA,J
fcb2,Dayot Upamecano,1,fcb,vafc,NA,K
fcb4,Mathijs de Ligt,1,fcb,aja,NA,L
fcb5,Benjamin Pavard,1,fcb,lil,NA,J
fcb6,Joshua Kimmich,1,fcb,vfbj,NA,L
fcb7,Serge Gnabry,1,fcb,ars,NA,L
fcb8,Leon Goretzka,1,fcb,bocj,NA,L
fcb10,Leroy Sane,1,fcb,gelj,NA,L
fcb11,Kingsley Coman,1,fcb,psg,NA,L
fcb13,Eric Maxim Choupo Moting,1,fcb,hsv,NA,D
fcb14,Paul Wanner,1,fcb,fcb,NA,B
fcb17,Sadio Mane,1,fcb,foot,NA,L
fcb19,Alphonso Davies,1,fcb,vanw,NA,L
fcb20,Bouna Sarr,1,fcb,met,NA,D
fcb21,Lucas Hernandez,1,fcb,atm,NA,L
fcb22,Joao Cancelo,1,fcb,ben,NA,L
fcb23,Daley Blind,1,fcb,aja,NA,G
fcb25,Thomas Mueller,1,fcb,fcbj,NA,L
fcb26,Sven Ulreich,1,fcb,vfbj,NA,D
fcb27,Yann Sommer,1,fcb,bas,NA,E
fcb38,Ryan Gravenberch,1,fcb,aja,NA,I
fcb39,Mathys Tel,1,fcb,ren,NA,F
fcb40,Noussair Mazraoui,1,fcb,aja,NA,H
fcb42,Jamal Musiala,1,fcb,fcbj,NA,L
fcb44,Josip Stanisic,1,fcb,fcbj,NA,D
gelj,FC Schalke 04 Jugend,2,NA,NA,GER,NA
vafc,FC Valenciennes,2,NA,NA,ESP,NA
aja,Ajax Amsterdam,2,NA,NA,NED,NA
lil,Lille OSC,2,NA,NA,FRA,NA
vfbj,VfB Stuttgart Jugend,2,NA,NA,GER,NA
ars,FC Arsenal,2,NA,NA,ENG,NA
bocj,VfL Bochum Jugend,2,NA,NA,GER,NA
psg,Paris St Germain,2,NA,NA,FRA,NA
hsv,Hamburger SV,2,NA,NA,GER,NA
fcb,FC Bayern München,2,NA,NA,GER,NA
foot,Generation Foot,2,NA,NA,SEN,NA
vanw,Vancouver Whitecaps,2,NA,NA,CAN,NA
met,FC Metz,2,NA,NA,FRA,NA
atm,Atletico Madrid,2,NA,NA,ESP,NA
ben,Benfica Lissabon,2,NA,NA,POR,NA
bas,FC Basel,2,NA,NA,SUI,NA
ren,Stade Rennes,2,NA,NA,FRA,NA
bl,Bundesliga,3,NA,NA,NA,NA
fcbj,FC Bayern Jugend,2,NA,NA,GER,NA
