ID,Name,Typ,Verein,Jugendverein,Land,MW
lev1,Lukas Hradecky,1,lev,tps,NA,E
lev3,Piero Hincapie,1,lev,ind,NA,G
lev4,Jonathan Tah,1,lev,hsv,NA,I
lev5,Mitchell Bakker,1,lev,aja,NA,E
lev6,Odilon Koussounou,1,lev,asec,NA,G
lev8,Robert Andrich,1,lev,bscj,NA,E
lev9 ,Sardar Azmoun,1,lev,sep,NA,G
lev10,Kerem Demirbay,1,lev,bvbj,NA,I
lev11,Nadiem Amiri,1,lev,tsgj,NA,G
lev12 ,Edmond Tapsoba,1,lev,leix,NA,I
lev14,Patrik Schick,1,lev,spra,NA,J
lev17,Callum Hudson Odoi,1,lev,cfc,NA,I
lev19,Moussa Diaby,1,lev,psg,NA,K
lev20,Charles Aranguiz,1,lev,cob,NA,E
lev21,Amine Adli,1,lev,tou,NA,E
lev22,Daley Sinkgraven,1,lev,hee,NA,D
lev23,Adam Hlozek,1,lev,spra,NA,F
lev24,Timothy Fosu Mensah,1,lev,manu,NA,C
lev25 ,Exequiel Palacios,1,lev,rivp,NA,G
lev27,Florian Wirtz,1,lev,koej,NA,L
lev30,Jeremie Frimpong,1,lev,manc,NA,G
lev32 ,Ayman Azhil,1,lev,levj,NA,A
lev38,Karim Bellarabi,1,lev,ebs,NA,G
lev40,Andrey Lunev,1,lev,tor,NA,E
bl,Bundesliga,3,NA,NA,NA,NA
lev,Bayer 04 Leverkusen,2,NA,NA,GER,NA
tps,Turun Palloseura,2,NA,NA,FIN,NA
ind,Indepidiente del Valle,2,NA,NA,ECU,NA
hsv,Hamburger SV,2,NA,NA,GER,NA
aja,Ajax Amsterdam,2,NA,NA,NED,NA
asec,ASEC Mimosas,2,NA,NA,CIV,NA
bscj,Hertha Jugend,2,NA,NA,GER,NA
sep,Sepaphan FC,2,NA,NA,IRN,NA
bvbj,Borussia Dortmund,2,NA,NA,GER,NA
tsgj,Hoffenheim Jugend,2,NA,NA,GER,NA
leix,Leixoes SC,2,NA,NA,POR,NA
spra,Sparta Prag,2,NA,NA,CZE,NA
cfc,Chelsea London,2,NA,NA,ENG,NA
psg,Paris Saint-German,2,NA,NA,FRA,NA
cob,Cobreloa,2,NA,NA,CHI,NA
tou,FC Toulouse,2,NA,NA,FRA,NA
hee,SC Heerenveen,2,NA,NA,NED,NA
manu,Manchester United,2,NA,NA,ENG,NA
rivp,River Plate,2,NA,NA,ARG,NA
koej,Koeln Jugend,2,NA,NA,GER,NA
manc,Manchester City,2,NA,NA,ENG,NA
levj,Leverkusen Jugend,2,NA,NA,GER,NA
ebs,Eintracht Braunschweig,2,NA,NA,GER,NA
tor,Torpedo Moskau,2,NA,NA,RUS,NA
