id,name,type,club,youth,nation,peakvalue
aaa,Alemannia Aachen,2,NA,NA,GER,NA
aar,FC Aarau,2,NA,NA,SUI,NA
aja,Ajax Amsterdam,2,NA,NA,NED,NA
alk,AZ Alkmaar,2,NA,NA,NED,NA
and,RSC Anderlecht,2,NA,NA,BEL,NA
ange,Angelholm,2,NA,NA,SWE,NA
anne,Patroge Saint Anne,2,NA,NA,COG,NA
ars,FC Arsenal,2,NA,NA,ENG,NA
asco,Angers SCO,2,NA,NA,FRA,NA
asec,ASEC Mimosas,2,NA,NA,CIV,NA
asm,AS Monaco,2,NA,NA,FRA,NA
asse,AS St Etienne,2,NA,NA,FRA,NA
atm,Atletico Madrid,2,NA,NA,ESP,NA
atpr,Athletico Paranese,2,NA,NA,BRA,NA
atro,Atromitos Athen,2,NA,NA,GRE,NA
auer,SV Auersmacher,2,NA,NA,GER,NA
aux,AJ Auxerre,2,NA,NA,FRA,NA
awie,Austria Wien,2,NA,NA,AUT,NA
bama,JMG Academy Bamako,2,NA,NA,MAL,NA
bar,FC Barcelona,2,NA,NA,ESP,NA
bas,FC Basel,2,NA,NA,SUI,NA
beif,Benlose IF,2,NA,NA,DEN,NA
ben,Benfica Lissabon,2,NA,NA,POR,NA
bir,Birmingham City,2,NA,NA,ENG,NA
bl,Bundesliga,3,NA,NA,NA,NA
blum,Blumentaler SV,2,NA,NA,GER,NA
bmg,Borussia Moenchengladbach,2,NA,NA,GER,NA
bmg1,Jonas Omlin,1,bmg,luz,NA,D
bmg10,Marcus Thuram,1,bmg,soc,NA,I
bmg11,Hannes Wolf,1,bmg,rbs,NA,E
bmg13,Lars Stindl,1,bmg,ksc,NA,F
bmg14,Alassane Plea,1,bmg,ol,NA,I
bmg17,Manu Kone,1,bmg,tou,NA,G
bmg18,Stefan Lainer,1,bmg,rbs,NA,F
bmg19,Nathan Ngoumou,1,bmg,tou,NA,C
bmg20,Luca Netz,1,bmg,bscj,NA,C
bmg21,Tobias Sippel,1,bmg,fck,NA,B
bmg23,Jonas Hofmann,1,bmg,tsgj,NA,F
bmg24,Tony Jantschke,1,bmg,bmgj,NA,D
bmg25,Ramy Bensebaini,1,bmg,pac,NA,G
bmg29,Joe Scally,1,bmg,nyfc,NA,E
bmg3,Ko Itakura,1,bmg,kaw,NA,E
bmg30,Nico Elvedi,1,bmg,fcz,NA,I
bmg32,Florian Neuhaus,1,bmg,mu60,NA,I
bmg34,Conor Noss,1,bmg,bmgj,NA,A
bmg38,Yvandro Borges Sanches,1,bmg,bmgj,NA,A
bmg4,Mamadou Doucoure,1,bmg,psg,NA,A
bmg41,Jan Olschowsky,1,bmg,bmgj,NA,A
bmg5,Marvin Friedrich,1,bmg,gelj,NA,D
bmg6,Christoph Kramer,1,bmg,levj,NA,E
bmg7,Patrick Herrmann,1,bmg,bmgj,NA,E
bmg8,Julian Weigl,1,bmg,mu60,NA,H
bmgj,Gladbach Jugend,2,NA,NA,GER,NA
boc,VfL Bochum,2,NA,NA,GER,NA
boc1,Manuel Riemann,1,boc,burg,NA,A
boc10,Philipp Foerster,1,boc,vfbj,NA,B
boc11,Takuma Asano,1,boc,yok,NA,B
boc16,Konstantinos Stafylidis,1,boc,paok,NA,B
boc17,Gerrit Holtmann,1,boc,svwj,NA,B
boc18,Jordi Osei Tutu,1,boc,ars,NA,A
boc2,Cristian Gamboa,1,boc,mli,NA,A
boc20,Ivan Ordets,1,boc,shak,NA,B
boc21,Michael Esser,1,boc,habi,NA,A
boc22,Christopher Antwi Adjei,1,boc,hern,NA,A
boc23,Saidy Janko,1,boc,manu,NA,B
boc24,Vasilios Lampropoulos,1,boc,olpi,NA,A
boc28,Pierre Kunde,1,boc,atm,NA,D
boc29,Moritz Broschinski,1,boc,cott,NA,A
boc3,Danilo Soares,1,boc,lust,NA,A
boc30,Dominique Heintz,1,boc,fck,NA,D
boc31,Keven Schlotterbeck,1,boc,kirc,NA,D
boc33,Philipp Hofmann,1,boc,gelj,NA,B
boc35,Silvere Ganvoula,1,boc,anne,NA,B
boc4,Erhan Masovic,1,boc,cuk,NA,B
